,path,label
0,div_328.png,3
1,div_98.png,3
2,div_314.png,3
3,div_300.png,3
4,minus copy 20.png,1
5,minus copy 34.png,1
6,div copy 42.png,3
7,div_67.png,3
8,div_73.png,3
9,eq copy 6.png,4
10,eq_278.png,4
11,mul copy 13.png,2
12,mul_18.png,2
13,mul_30.png,2
14,eq_244.png,4
15,div_116.png,3
16,eq_250.png,4
17,div_102.png,3
18,mul_24.png,2
19,plus_70.png,0
20,minus_49.png,1
21,mul_236.png,2
22,plus_4.png,0
23,mul copy 4.png,2
24,mul_222.png,2
25,plus copy 38.png,0
26,plus_64.png,0
27,minus_75.png,1
28,plus copy 10.png,0
29,eq copy 44.png,4
30,eq_287.png,4
31,eq_293.png,4
32,eq copy 50.png,4
33,plus_58.png,0
34,minus_61.png,1
35,eq_29.png,4
36,eq_1.png,4
37,eq_318.png,4
38,eq_15.png,4
39,eq_330.png,4
40,eq_324.png,4
41,mul_342.png,2
42,mul_356.png,2
43,mul_183.png,2
44,minus_110.png,1
45,minus_104.png,1
46,mul_197.png,2
47,div_248.png,3
48,eq_132.png,4
49,div_260.png,3
50,eq_126.png,4
51,div_274.png,3
52,plus copy 8.png,0
53,mul_140.png,2
54,mul_154.png,2
55,mul_168.png,2
56,mul_169.png,2
57,mul_155.png,2
58,mul_141.png,2
59,plus copy 9.png,0
60,div_275.png,3
61,eq_127.png,4
62,div_261.png,3
63,eq_133.png,4
64,minus_105.png,1
65,div_249.png,3
66,mul_196.png,2
67,mul_182.png,2
68,plus.png,0
69,minus_111.png,1
70,mul_357.png,2
71,mul_343.png,2
72,eq_325.png,4
73,eq_14.png,4
74,eq_331.png,4
75,eq_319.png,4
76,eq_28.png,4
77,eq_292.png,4
78,minus_60.png,1
79,plus_59.png,0
80,plus copy 11.png,0
81,minus_74.png,1
82,eq_286.png,4
83,eq copy 45.png,4
84,mul_223.png,2
85,plus_65.png,0
86,plus copy 39.png,0
87,minus_48.png,1
88,plus_71.png,0
89,mul copy 5.png,2
90,plus_5.png,0
91,mul_237.png,2
92,div_103.png,3
93,eq_251.png,4
94,mul_25.png,2
95,mul_31.png,2
96,div_117.png,3
97,eq_245.png,4
98,mul_19.png,2
99,mul copy 12.png,2
100,eq_279.png,4
101,eq copy 7.png,4
102,div_72.png,3
103,div copy 43.png,3
104,div_66.png,3
105,minus copy 35.png,1
106,minus copy 21.png,1
107,div_301.png,3
108,div_315.png,3
109,div_329.png,3
110,div_99.png,3
111,div_303.png,3
112,div_317.png,3
113,minus copy 37.png,1
114,div_58.png,3
115,minus copy 23.png,1
116,div_70.png,3
117,div_64.png,3
118,div copy 41.png,3
119,mul copy 10.png,2
120,eq copy 5.png,4
121,div_129.png,3
122,minus_89.png,1
123,mul_27.png,2
124,eq_253.png,4
125,div_101.png,3
126,eq_247.png,4
127,div_115.png,3
128,mul copy 38.png,2
129,mul_33.png,2
130,plus_67.png,0
131,mul_221.png,2
132,plus_7.png,0
133,mul_235.png,2
134,mul copy 7.png,2
135,plus_73.png,0
136,minus_62.png,1
137,eq_290.png,4
138,eq copy 47.png,4
139,mul_209.png,2
140,eq_284.png,4
141,plus copy 13.png,0
142,minus_76.png,1
143,eq_2.png,4
144,eq_327.png,4
145,eq_333.png,4
146,eq_16.png,4
147,mul_355.png,2
148,mul_341.png,2
149,mul_369.png,2
150,eq_119.png,4
151,mul_194.png,2
152,minus_107.png,1
153,minus_113.png,1
154,mul_180.png,2
155,eq_125.png,4
156,div_277.png,3
157,eq_131.png,4
158,div_263.png,3
159,mul_157.png,2
160,div_288.png,3
161,mul_143.png,2
162,mul_142.png,2
163,div_289.png,3
164,mul_156.png,2
165,div_262.png,3
166,eq_130.png,4
167,div_276.png,3
168,eq_124.png,4
169,minus_112.png,1
170,mul_181.png,2
171,mul_195.png,2
172,eq_118.png,4
173,minus_106.png,1
174,mul_368.png,2
175,mul_340.png,2
176,mul_354.png,2
177,eq_332.png,4
178,eq_17.png,4
179,eq_326.png,4
180,eq_3.png,4
181,eq_285.png,4
182,mul_208.png,2
183,eq copy 46.png,4
184,minus_77.png,1
185,plus copy 12.png,0
186,minus_63.png,1
187,eq_291.png,4
188,mul copy 6.png,2
189,mul_234.png,2
190,plus_6.png,0
191,plus_72.png,0
192,plus_66.png,0
193,mul_220.png,2
194,div_114.png,3
195,eq_246.png,4
196,mul_32.png,2
197,mul copy 39.png,2
198,mul_26.png,2
199,div_100.png,3
200,eq_252.png,4
201,div_128.png,3
202,eq copy 4.png,4
203,minus_88.png,1
204,mul copy 11.png,2
205,div_65.png,3
206,div copy 40.png,3
207,div_71.png,3
208,minus copy 22.png,1
209,div_59.png,3
210,minus copy 36.png,1
211,div_316.png,3
212,div_302.png,3
213,div_306.png,3
214,div_312.png,3
215,div_75.png,3
216,div copy 50.png,3
217,div copy 44.png,3
218,div_61.png,3
219,minus copy 32.png,1
220,div_49.png,3
221,minus copy 26.png,1
222,eq_256.png,4
223,div_104.png,3
224,mul_22.png,2
225,mul copy 29.png,2
226,plus_89.png,0
227,mul_36.png,2
228,eq_242.png,4
229,div_110.png,3
230,div_138.png,3
231,mul copy 15.png,2
232,minus_98.png,1
233,mul_218.png,2
234,eq_295.png,4
235,minus_67.png,1
236,plus copy 16.png,0
237,minus_73.png,1
238,eq copy 42.png,4
239,eq_281.png,4
240,mul_224.png,2
241,plus_62.png,0
242,plus_76.png,0
243,plus_2.png,0
244,mul_230.png,2
245,mul copy 2.png,2
246,eq_322.png,4
247,eq_13.png,4
248,eq_336.png,4
249,eq_7.png,4
250,mul_350.png,2
251,mul_344.png,2
252,eq_120.png,4
253,eq_120.png,4
254,div_272.png,3
255,eq_134.png,4
256,div_266.png,3
257,minus_102.png,1
258,mul_191.png,2
259,eq_108.png,4
260,mul_185.png,2
261,minus_116.png,1
